iter	Passed	Remaining
240	9913	31220
241	9952	31173
242	9990	31123
243	10031	31081
244	10070	31034
245	10109	30985
246	10148	30937
247	10185	30885
248	10230	30855
249	10268	30805
250	10306	30754
251	10345	30707
252	10386	30666
253	10429	30632
254	10469	30586
255	10507	30536
256	10552	30506
257	10589	30456
258	10634	30424
259	10673	30378
260	10712	30331
261	10751	30283
262	10790	30237
263	10829	30190
264	10874	30161
265	10914	30117
266	10953	30070
267	10992	30023
268	11030	29975
269	11077	29950
270	11115	29899
271	11153	29853
272	11192	29805
273	11229	29753
274	11269	29711
275	11310	29669
276	11350	29626
277	11389	29578
278	11427	29530
279	11469	29491
280	11508	29447
281	11547	29401
282	11597	29383
283	11652	29377
284	11695	29341
285	11742	29315
286	11786	29281
287	11832	29253
288	11886	29244
289	11931	29212
290	11978	29184
291	12027	29163
292	12081	29151
293	12131	29131
294	12174	29095
295	12234	29098
296	12283	29074
297	12333	29053
298	12384	29034
299	12430	29003
300	12479	28980
301	12529	28959
302	12572	28921
303	12621	28895
304	12673	28879
305	12723	28855
306	12769	28824
307	12822	28808
308	12867	28775
309	12918	28754
310	12970	28735
311	13013	28696
312	13058	28661
313	13098	28616
314	13147	28591
315	13190	28551
316	13239	28524
317	13278	28476
318	13317	28430
319	13357	28384
320	13397	28339
321	13436	28292
322	13475	28244
323	13518	28205
324	13558	28160
325	13603	28124
326	13644	28080
327	13681	28031
328	13720	27984
329	13761	27940
330	13804	27900
331	13846	27859
332	13887	27816
333	13926	27768
334	13964	27721
335	14002	27671
336	14042	27625
337	14079	27575
338	14118	27528
339	14156	27480
340	14198	27438
341	14239	27396
342	14280	27354
343	14318	27305
344	14356	27257
345	14397	27214
346	14437	27168
347	14476	27122
348	14515	27075
349	14553	27028
350	14593	26984
351	14636	26943
352	14675	26897
353	14712	26848
354	14751	26801
355	14791	26757
356	14829	26710
357	14869	26665
358	14908	26618
359	14946	26571
360	14984	26523
361	15024	26480
362	15063	26434
363	15100	26384
364	15137	26335
365	15177	26291
366	15219	26250
367	15257	26203
368	15296	26158
369	15334	26110
370	15373	26064
371	15413	26020
372	15451	25974
373	15489	25927
374	15528	25881
375	15566	25833
376	15608	25793
377	15646	25745
378	15685	25701
379	15724	25655
380	15763	25609
381	15803	25566
382	15839	25517
383	15878	25471
384	15924	25438
385	15963	25393
386	16001	25346
387	16042	25303
388	16079	25256
389	16121	25215
390	16158	25167
391	16195	25119
392	16237	25079
393	16276	25034
394	16312	24984
395	16350	24938
396	16394	24900
397	16433	24856
398	16473	24812
399	16511	24767
400	16548	24719
401	16587	24674
402	16628	24633
403	16669	24591
404	16708	24546
405	16746	24500
406	16787	24458
407	16829	24418
408	16869	24375
409	16908	24331
410	16946	24286
411	16985	24241
412	17031	24206
413	17070	24162
414	17109	24118
415	17148	24073
416	17189	24032
417	17229	23990
418	17269	23946
419	17310	23904
420	17349	23861
421	17393	23823
422	17434	23781
423	17472	23736
424	17510	23691
425	17550	23648
426	17593	23609
427	17634	23567
428	17673	23522
429	17710	23477
430	17750	23433
431	17788	23388
432	17830	23348
433	17867	23302
434	17906	23257
435	17944	23212
436	17982	23167
437	18027	23131
438	18066	23087
439	18105	23043
440	18142	22997
441	18180	22952
442	18222	22911
443	18261	22867
444	18300	22823
445	18338	22779
446	18376	22733
447	18419	22695
448	18458	22651
449	18497	22608
450	18535	22563
451	18579	22525
452	18620	22484
453	18657	22438
454	18695	22393
455	18736	22352
456	18773	22306
457	18818	22269
458	18855	22223
459	18893	22178
460	18931	22134
461	18973	22094
462	19017	22056
463	19054	22011
464	19092	21966
465	19129	21920
466	19166	21875
467	19208	21835
468	19247	21792
469	19287	21749
470	19324	21704
471	19362	21659
472	19406	21622
473	19445	21578
474	19492	21543
475	19530	21499
476	19576	21463
477	19616	21421
478	19654	21377
479	19690	21331
480	19730	21288
481	19766	21243
482	19810	21205
483	19851	21164
484	19891	21122
485	19934	21083
486	19975	21041
487	20015	21000
488	20053	20955
489	20091	20911
490	20130	20868
491	20170	20826
492	20215	20789
493	20254	20746
494	20292	20702
495	20329	20657
496	20372	20618
497	20412	20576
498	20452	20534
499	20490	20490
500	20530	20448
501	20571	20407
502	20610	20364
503	20649	20321
504	20688	20279
505	20727	20236
506	20767	20193
507	20807	20152
508	20847	20109
509	20888	20069
510	20925	20025
511	20962	19980
512	21003	19938
513	21042	19895
514	21079	19851
515	21117	19807
516	21153	19762
517	21193	19720
518	21232	19678
519	21271	19635
520	21310	19592
521	21348	19549
522	21390	19508
523	21429	19466
524	21468	19423
525	21506	19380
526	21544	19337
527	21586	19297
528	21626	19255
529	21664	19211
530	21703	19169
531	21740	19125
532	21782	19085
533	21818	19040
534	21858	18998
535	21894	18953
536	21931	18909
537	21973	18869
538	22010	18824
539	22048	18781
540	22086	18738
541	22126	18697
542	22168	18657
543	22206	18614
544	22244	18571
545	22283	18528
546	22319	18484
547	22361	18444
548	22400	18401
549	22438	18358
550	22476	18315
551	22517	18275
552	22559	18235
553	22598	18192
554	22636	18149
555	22672	18105
556	22712	18064
557	22755	18025
558	22797	17984
559	22838	17944
560	22878	17903
561	22919	17862
562	22961	17822
563	22999	17779
564	23036	17736
565	23074	17693
566	23112	17650
567	23153	17609
568	23192	17567
569	23230	17524
570	23268	17481
571	23305	17438
572	23346	17397
573	23385	17355
574	23423	17313
575	23463	17271
576	23500	17228
577	23543	17189
578	23584	17148
579	23623	17106
580	23664	17066
581	23711	17030
582	23766	16999
583	23809	16960
584	23850	16919
585	23888	16876
586	23928	16835
587	23970	16795
588	24009	16753
589	24048	16711
590	24087	16669
591	24124	16626
592	24170	16589
593	24209	16547
594	24248	16504
595	24287	16463
596	24324	16420
597	24365	16379
598	24402	16336
599	24441	16294
600	24481	16252
601	24521	16211
602	24564	16172
603	24602	16130
604	24640	16087
605	24678	16045
606	24716	16002
607	24758	15962
608	24796	15919
609	24833	15877
610	24871	15834
611	24907	15791
612	24946	15749
613	24986	15707
614	25023	15665
615	25063	15623
616	25101	15581
617	25145	15542
618	25184	15501
619	25221	15458
620	25258	15415
621	25300	15375
622	25339	15333
623	25377	15291
624	25415	15249
625	25453	15207
626	25492	15165
627	25532	15124
628	25572	15083
629	25612	15042
630	25655	15002
631	25694	14961
632	25736	14921
633	25774	14879
634	25812	14836
635	25849	14794
636	25885	14751
637	25928	14711
638	25965	14669
639	26004	14627
640	26043	14585
641	26080	14543
642	26121	14502
643	26161	14461
644	26198	14419
645	26237	14377
646	26273	14334
647	26317	14296
648	26356	14254
649	26395	14213
650	26433	14170
651	26472	14129
652	26512	14088
653	26549	14046
654	26587	14003
655	26627	13963
656	26667	13922
657	26719	13887
658	26768	13851
659	26815	13813
660	26882	13787
661	26942	13756
662	26989	13718
663	27042	13683
664	27090	13646
665	27132	13607
666	27173	13566
667	27216	13526
668	27265	13490
669	27313	13452
670	27367	13418
671	27417	13382
672	27467	13346
673	27520	13311
674	27574	13276
675	27630	13242
676	27676	13204
677	27720	13165
678	27771	13129
679	27839	13101
680	27890	13064
681	27943	13029
682	27994	12992
683	28043	12955
684	28094	12919
685	28142	12881
686	28189	12843
687	28242	12807
688	28294	12771
689	28335	12730
690	28391	12696
691	28438	12657
692	28482	12617
693	28525	12577
694	28577	12541
695	28627	12503
696	28675	12465
697	28721	12426
698	28773	12390
699	28823	12352
700	28869	12313
701	28919	12276
702	28963	12236
703	29004	12195
704	29043	12153
705	29082	12110
706	29120	12068
707	29161	12026
708	29199	11984
709	29237	11942
710	29276	11899
711	29314	11857
712	29356	11816
713	29395	11774
714	29435	11733
715	29474	11691
716	29522	11652
717	29562	11610
718	29598	11567
719	29637	11525
720	29676	11483
721	29714	11441
722	29756	11400
723	29800	11360
724	29843	11319
725	29885	11278
726	29926	11237
727	29965	11196
728	30004	11153
729	30043	11111
730	30083	11070
731	30123	11028
732	30165	10988
733	30204	10945
734	30241	10903
735	30279	10861
736	30317	10818
737	30357	10777
738	30394	10734
739	30434	10693
740	30474	10651
741	30518	10611
742	30559	10570
743	30599	10528
744	30638	10486
745	30674	10444
746	30711	10401
747	30751	10359
748	30788	10317
749	30827	10275
750	30863	10232
751	30902	10191
752	30947	10151
753	30983	10108
754	31020	10066
755	31057	10023
756	31095	9981
757	31137	9941
758	31177	9899
759	31216	9857
760	31255	9816
761	31295	9774
762	31333	9732
763	31372	9690
764	31412	9649
765	31449	9607
766	31489	9565
767	31530	9524
768	31571	9483
769	31608	9441
770	31647	9399
771	31684	9357
772	31730	9317
773	31767	9275
774	31809	9235
775	31848	9193
776	31889	9152
777	31930	9111
778	31969	9069
779	32007	9027
780	32045	8985
781	32083	8944
782	32124	8902
783	32164	8861
784	32201	8819
785	32240	8777
786	32278	8736
787	32320	8695
788	32358	8653
789	32396	8611
790	32435	8570
791	32474	8528
792	32515	8487
793	32555	8446
794	32594	8404
795	32633	8363
796	32672	8321
797	32715	8281
798	32754	8239
799	32792	8198
800	32829	8156
801	32866	8114
802	32907	8073
803	32946	8031
804	32984	7989
805	33024	7948
806	33065	7907
807	33105	7866
808	33145	7825
809	33184	7783
810	33221	7742
811	33264	7701
812	33303	7660
813	33344	7619
814	33384	7578
815	33422	7536
816	33464	7495
817	33501	7453
818	33540	7412
819	33578	7370
820	33617	7329
821	33655	7288
822	33696	7246
823	33734	7205
824	33771	7163
825	33810	7122
826	33847	7080
827	33887	7039
828	33923	6997
829	33964	6956
830	34003	6915
831	34046	6874
832	34084	6833
833	34122	6791
834	34160	6750
835	34198	6708
836	34235	6667
837	34275	6626
838	34313	6584
839	34352	6543
840	34392	6502
841	34429	6460
842	34468	6419
843	34507	6378
844	34546	6336
845	34586	6295
846	34624	6254
847	34668	6214
848	34705	6172
849	34742	6131
850	34780	6089
851	34817	6048
852	34857	6007
853	34896	5965
854	34935	5924
855	34973	5883
856	35013	5842
857	35058	5802
858	35096	5760
859	35135	5719
860	35173	5678
861	35214	5637
862	35251	5596
863	35289	5554
864	35328	5513
865	35365	5472
866	35403	5431
867	35443	5389
868	35481	5348
869	35519	5307
870	35558	5266
871	35595	5225
872	35633	5183
873	35671	5142
874	35708	5101
875	35746	5059
876	35785	5018
877	35827	4978
878	35867	4937
879	35906	4896
880	35944	4855
881	35981	4813
882	36022	4773
883	36061	4732
884	36100	4691
885	36137	4649
886	36175	4608
887	36217	4567
888	36256	4526
889	36295	4485
890	36333	4444
891	36369	4403
892	36412	4362
893	36451	4321
894	36490	4280
895	36530	4240
896	36569	4199
897	36613	4158
898	36651	4117
899	36691	4076
900	36734	4036
901	36772	3995
902	36813	3954
903	36851	3913
904	36888	3872
905	36925	3831
906	36962	3789
907	37009	3749
908	37047	3708
909	37084	3667
910	37122	3626
911	37164	3586
912	37205	3545
913	37245	3504
914	37283	3463
915	37321	3422
916	37363	3381
917	37401	3340
918	37437	3299
919	37476	3258
920	37515	3217
921	37553	3177
922	37594	3136
923	37633	3095
924	37668	3054
925	37706	3013
926	37743	2972
927	37784	2931
928	37822	2890
929	37862	2849
930	37901	2809
931	37940	2768
932	37981	2727
933	38021	2686
934	38058	2645
935	38098	2605
936	38136	2564
937	38175	2523
938	38214	2482
939	38251	2441
940	38292	2400
941	38329	2359
942	38371	2319
943	38410	2278
944	38448	2237
945	38484	2196
946	38524	2156
947	38565	2115
948	38604	2074
949	38641	2033
950	38678	1992
951	38715	1952
952	38757	1911
953	38793	1870
954	38831	1829
955	38867	1788
956	38907	1748
957	38947	1707
958	38985	1666
959	39025	1626
960	39066	1585
961	39104	1544
962	39145	1504
963	39182	1463
964	39220	1422
965	39258	1381
966	39295	1341
967	39336	1300
968	39375	1259
969	39414	1218
970	39452	1178
971	39496	1137
972	39536	1097
973	39574	1056
974	39613	1015
975	39651	975
976	39688	934
977	39729	893
978	39767	853
979	39806	812
980	39845	771
981	39882	731
982	39921	690
983	39958	649
984	39998	609
985	40040	568
986	40078	527
987	40122	487
988	40161	446
989	40199	406
990	40236	365
991	40277	324
992	40316	284
993	40354	243
994	40394	202
995	40433	162
996	40471	121
997	40512	81
998	40548	40
999	40586	0
