iter	Logloss
0	0.6364835146
1	0.58606669
2	0.546237049
3	0.5197917154
4	0.4984462689
5	0.4797883658
6	0.4648457813
7	0.4509011651
8	0.4383712709
9	0.4283973295
10	0.4185011732
11	0.4101176119
12	0.4034252927
13	0.3970211749
14	0.3920797666
15	0.3886209469
16	0.3849611063
17	0.3817709044
18	0.3784500913
19	0.3754925079
20	0.3729516435
21	0.3708317269
22	0.368913473
23	0.3675981512
24	0.3661309239
25	0.3649460231
26	0.3632803085
27	0.3619160663
28	0.3602376627
29	0.3585585273
30	0.3573248192
31	0.3565579054
32	0.3554024679
33	0.3544226446
34	0.3539963119
35	0.3531672111
36	0.3523557755
37	0.3507912958
38	0.3493366628
39	0.3484120608
40	0.3477880011
41	0.3473456471
42	0.3463001708
43	0.3456567488
44	0.3451883017
45	0.3448123323
46	0.3444667308
47	0.3436391771
48	0.3428375557
49	0.3422467781
50	0.3414673495
51	0.3410900419
52	0.3407516479
53	0.3398860864
54	0.3392926221
55	0.3389905018
56	0.3385742354
57	0.3382327118
58	0.3379436854
59	0.3370267552
60	0.3365345959
61	0.3362964072
62	0.3360519386
63	0.3358746809
64	0.3355224747
65	0.3350067307
66	0.3342253901
67	0.3337908118
68	0.3329226459
69	0.3326197308
70	0.3324095272
71	0.332252914
72	0.3320147756
73	0.3317210327
74	0.3314534958
75	0.3312212773
76	0.3310189795
77	0.3305630614
78	0.3303070248
79	0.3300034349
80	0.3298061407
81	0.3295717038
82	0.3293323396
83	0.3291936811
84	0.328526937
85	0.3282736503
86	0.3281617903
87	0.3279621151
88	0.327723907
89	0.3274926919
90	0.3273461914
91	0.3272123484
92	0.3264701544
93	0.3262550953
94	0.3259087344
95	0.3257656543
96	0.3255453432
97	0.3254556875
98	0.3251623898
99	0.3250060551
100	0.3247809584
101	0.3246140424
102	0.3238007023
103	0.3234840843
104	0.3233955026
105	0.3231232888
106	0.3228573298
107	0.3227475367
108	0.3223804585
109	0.3220815693
110	0.321899086
111	0.3216903354
112	0.3214365313
113	0.3213284633
114	0.3210262301
115	0.3206819954
116	0.3205646725
117	0.3203039511
118	0.320226344
119	0.3200734575
120	0.3198401268
121	0.3195810281
122	0.3194732055
123	0.3191350794
124	0.3190078813
125	0.3189011481
126	0.3187593804
127	0.3185858716
128	0.3184230498
129	0.3183269675
130	0.3182374902
131	0.3177029846
132	0.3175151309
133	0.3173552778
134	0.3169577048
135	0.3168959167
136	0.3167595879
137	0.3166523374
138	0.3165725985
139	0.3165036966
140	0.3163396597
141	0.3161931278
142	0.3160283634
143	0.3157390591
144	0.3155090388
145	0.3153867187
146	0.3151002035
147	0.3149018583
148	0.31483243
149	0.3147088389
150	0.3141620768
151	0.3138527186
152	0.3137764588
153	0.3134812913
154	0.3129087024
155	0.3127954847
156	0.3127159472
157	0.3124991666
158	0.3123580738
159	0.3122484137
160	0.3120994698
161	0.3120203736
162	0.3119608383
163	0.3118872025
164	0.3118333779
165	0.3117423295
166	0.3116530478
167	0.3116143793
168	0.3115081249
169	0.3113559163
170	0.3109956522
171	0.3108401448
172	0.3107670814
173	0.3106510777
174	0.3105089123
175	0.3103688617
176	0.3102874817
177	0.3101294044
178	0.310055724
179	0.3098185984
180	0.3095675947
181	0.3092234796
182	0.3091508601
183	0.3089655502
184	0.3088804214
185	0.308535173
186	0.3084598746
187	0.3082773385
188	0.3081414278
189	0.3079382246
190	0.3078383111
191	0.3076592355
192	0.3075288386
193	0.3073812896
194	0.3072897767
195	0.3072443788
196	0.3070444369
197	0.306950549
198	0.3068518851
199	0.306693143
200	0.3065691458
201	0.3065319022
202	0.3063672564
203	0.3062432707
204	0.3061150821
205	0.3060721311
206	0.3059955522
207	0.3058517709
208	0.3057663954
209	0.3057009806
210	0.3056395627
211	0.3055472271
212	0.3054715823
213	0.3052801128
214	0.3051561224
215	0.3050408895
216	0.304495814
217	0.3043723921
218	0.3042650154
219	0.3040604133
220	0.3038953914
221	0.3037409093
222	0.303492119
223	0.3033422863
224	0.3032333644
225	0.303082602
226	0.3030345922
227	0.3029616932
228	0.3028869526
229	0.3027881287
230	0.3027225916
231	0.3026289015
232	0.3025535729
233	0.3024369235
234	0.3023269718
235	0.3021704687
236	0.302087576
237	0.30197101
238	0.3019145669
239	0.3018621506
240	0.3018042094
241	0.3016002028
242	0.3015533891
243	0.3015257145
244	0.3013754334
245	0.3012962938
246	0.3012347754
247	0.3011776417
248	0.3010397197
249	0.3009199871
250	0.300882966
251	0.3007558947
252	0.3006342013
253	0.3005963324
254	0.3005440379
255	0.3004229207
256	0.3002790676
257	0.3001932605
258	0.3001014286
259	0.2999006026
260	0.2997967633
261	0.2997258622
262	0.2996675436
263	0.2995788093
264	0.2995038031
265	0.2993877928
266	0.299304141
267	0.299213857
268	0.2991376942
269	0.299089589
270	0.2990544275
271	0.2989182817
272	0.2988225228
273	0.2987970678
274	0.2987188507
275	0.2986744911
276	0.2986308435
277	0.2985749731
278	0.2985110687
279	0.2984493948
280	0.2983712322
281	0.2982516908
282	0.2981182962
283	0.2979820168
284	0.2979565074
285	0.2978951329
286	0.2978573727
287	0.2978097283
288	0.2977632404
289	0.2977265431
290	0.2975837333
291	0.2974657728
292	0.2973446549
293	0.297316558
294	0.2972779423
295	0.297238126
296	0.2972053782
297	0.2971299154
298	0.297080944
299	0.2969704025
300	0.2969230153
301	0.2967635743
302	0.296744728
303	0.2966884985
304	0.2966459951
305	0.2963620532
306	0.2961419004
307	0.2960877166
308	0.2960562591
309	0.2959727867
310	0.2959475598
311	0.2958843971
312	0.2958220678
313	0.2957529689
314	0.2957192308
315	0.2955692772
316	0.2955115543
317	0.2954648358
318	0.295407768
319	0.2953558513
320	0.2953195786
321	0.2952389014
322	0.2951027726
323	0.2950783399
324	0.2949321186
325	0.2948744828
326	0.2948209201
327	0.2947773092
328	0.2947042399
329	0.2945039405
330	0.2942579328
331	0.294207408
332	0.2941242154
333	0.2940824224
334	0.2940038417
335	0.2938104244
336	0.2937708716
337	0.2937428737
338	0.2937164841
339	0.293667798
340	0.2935258917
341	0.29347618
342	0.293432333
343	0.2933755827
344	0.2933093514
345	0.2932552725
346	0.293179809
347	0.293108782
348	0.2930337938
349	0.2929902881
350	0.2929356672
351	0.2927707226
352	0.2927256219
353	0.2927168153
354	0.2926598357
355	0.2925942276
356	0.292558535
357	0.29241424
358	0.2923716283
359	0.2923336716
360	0.2923027516
361	0.2922470475
362	0.2921341658
363	0.2921086223
364	0.2920835934
365	0.2920192356
366	0.2919217285
367	0.2918002184
368	0.2917810361
369	0.291755341
370	0.2916931654
371	0.2916752359
372	0.2916102525
373	0.2915621148
374	0.2915100982
375	0.2914774641
376	0.291414385
377	0.2913705563
378	0.291312252
379	0.2912345503
380	0.2911876226
381	0.2911567914
382	0.2911464496
383	0.2910492213
384	0.290959995
385	0.2909263201
